2026-08-10 02:05:13 | team | sess_c3b11c077b30 | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-10 02:05:13 | team | sess_c3b11c077b30 | INFO | AgentTeam manager initialized for jiuwen_team_sess_c3b11c077b30, member=team_leader
2026-08-10 02:05:13 | team | sess_c3b11c077b30 | INFO | [team_leader] TeamPolicyRail static sections: section_names=['team_role', 'team_workflow', 'team_swarmflow', 'team_lifecycle', 'team_persona']
2026-08-10 02:05:13 | team | sess_c3b11c077b30 | INFO | Session tables ready for session sess_c3b11c077b30
2026-08-10 02:05:13 | team | sess_c3b11c077b30 | INFO | Team database initialized
2026-08-10 02:05:13 | team | default_trace_id | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-10 02:05:13 | team | default_trace_id | INFO | AgentTeam manager initialized for jiuwen_team_sess_c3b11c077b30, member=executor1
2026-08-10 02:05:13 | team | default_trace_id | INFO | [executor1] TeamPolicyRail static sections: section_names=['team_role', 'team_persona']
2026-08-10 02:05:13 | team | sess_c3b11c077b30 | INFO | [executor1] invoke start, role=teammate
2026-08-10 02:05:13 | team | sess_c3b11c077b30 | INFO | [executor1] coordination starting
2026-08-10 02:05:13 | team | sess_c3b11c077b30 | INFO | Session tables ready for session sess_c3b11c077b30
2026-08-10 02:05:13 | team | sess_c3b11c077b30 | INFO | Workspace /srv/jwteam_clone/shared/run_current initialized as plain shared directory (version_control disabled)
2026-08-10 02:05:13 | team | sess_c3b11c077b30 | INFO | EventBus[teammate] starting
2026-08-10 02:05:38 | team | sess_c3b11c077b30 | INFO | [executor1] HITT section refresh: human_agent_names=[]
2026-08-10 02:05:48 | team | sess_c3b11c077b30 | INFO | [executor1] processing 1 unread messages (steer=True)
2026-08-10 02:05:48 | team | sess_c3b11c077b30 | INFO | Message 357734f9-be13-40c5-ad12-23a170d7e55b marked as read by executor1
2026-08-10 02:06:13 | team | sess_c3b11c077b30 | INFO | Message 200437ba-e37f-423f-a731-b03f0b4c2ba4 created
2026-08-10 02:06:28 | team | sess_c3b11c077b30 | INFO | [executor1] processing 1 unread messages (steer=True)
2026-08-10 02:06:28 | team | sess_c3b11c077b30 | INFO | Message 1c98a52b-2b33-48ae-bb07-117d165322a3 marked as read by executor1
2026-08-10 02:06:59 | team | sess_c3b11c077b30 | INFO | [executor1] processing 1 unread messages (steer=True)
2026-08-10 02:06:59 | team | sess_c3b11c077b30 | INFO | Message a986b111-3b41-48d4-baa4-780c1336daf1 marked as read by executor1
2026-08-10 02:07:15 | team | sess_c3b11c077b30 | INFO | [executor1] processing 1 unread messages (steer=True)
2026-08-10 02:07:15 | team | sess_c3b11c077b30 | INFO | Message 7ce6c7b6-d83b-46fa-baaf-d2cd887112bd marked as read by executor1
2026-08-10 02:07:22 | team | sess_c3b11c077b30 | INFO | Message 21afa1d1-f42a-4a32-a4c8-32948de4a179 created
2026-08-10 02:07:25 | team | sess_c3b11c077b30 | INFO | [executor1] processing 1 unread messages (steer=True)
