2026-08-08 13:56:45 | team | sess_2f86a2072016 | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-08 13:56:45 | team | sess_2f86a2072016 | INFO | AgentTeam manager initialized for jiuwen_team_sess_2f86a2072016, member=team_leader
2026-08-08 13:56:45 | team | sess_2f86a2072016 | INFO | [team_leader] TeamPolicyRail static sections: section_names=['team_role', 'team_workflow', 'team_swarmflow', 'team_lifecycle', 'team_persona']
2026-08-08 13:56:45 | team | sess_2f86a2072016 | INFO | Session tables ready for session sess_2f86a2072016
2026-08-08 13:56:45 | team | sess_2f86a2072016 | INFO | Team database initialized
2026-08-08 13:56:45 | team | default_trace_id | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-08 13:56:45 | team | default_trace_id | INFO | AgentTeam manager initialized for jiuwen_team_sess_2f86a2072016, member=executor3
2026-08-08 13:56:45 | team | default_trace_id | INFO | [executor3] TeamPolicyRail static sections: section_names=['team_role', 'team_persona']
2026-08-08 13:56:45 | team | sess_2f86a2072016 | INFO | [executor3] invoke start, role=teammate
2026-08-08 13:56:45 | team | sess_2f86a2072016 | INFO | [executor3] coordination starting
2026-08-08 13:56:45 | team | sess_2f86a2072016 | INFO | Session tables ready for session sess_2f86a2072016
2026-08-08 13:56:45 | team | sess_2f86a2072016 | INFO | Workspace /srv/jwteam_clone/shared/run_current initialized as plain shared directory (version_control disabled)
2026-08-08 13:56:45 | team | sess_2f86a2072016 | INFO | EventBus[teammate] starting
2026-08-08 13:57:09 | team | sess_2f86a2072016 | INFO | [executor3] HITT section refresh: human_agent_names=[]
2026-08-08 13:57:29 | team | sess_2f86a2072016 | INFO | [executor3] processing 1 unread messages (steer=True)
2026-08-08 13:57:29 | team | sess_2f86a2072016 | INFO | Message 693ccc56-ac71-417f-81a9-8949dbb0c24f marked as read by executor3
2026-08-08 14:03:52 | team | sess_2f86a2072016 | INFO | task list drained for team jiuwen_team_sess_2f86a2072016: 6 terminal task(s)
2026-08-08 14:04:11 | team | sess_2f86a2072016 | INFO | [executor3] processing 1 unread messages (steer=True)
2026-08-08 14:04:11 | team | sess_2f86a2072016 | INFO | Message f7402b0a-ccee-41f5-a623-2611ab941f4b marked as read by executor3
2026-08-08 14:04:22 | team | sess_2f86a2072016 | INFO | team jiuwen_team_sess_2f86a2072016 reported completed: 9 members, 6 tasks
2026-08-08 14:04:23 | team | sess_2f86a2072016 | INFO | [executor3] received TEAM_STANDBY, pausing polls
2026-08-08 14:04:23 | team | sess_2f86a2072016 | INFO | EventBus[teammate] pausing polls
