timestamp	task	dose	outcome	traces	archive
2026-08-09 07:48:09	cross3	closed	finished/pass	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro/cross3_s4-20260809-074806
2026-08-09 07:58:54	spec5	closed	finished/pass	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro/spec5_s4-20260809-075852
2026-08-09 08:12:53	lh5	closed	TIMEOUT/NO_ATTESTATION	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro/lh5_s4-20260809-081250
2026-08-09 08:22:29	spec6	closed	finished/EMPTY_VERDICT	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro/spec6_s4-20260809-082226
2026-08-09 08:36:25	test9	closed	TIMEOUT/NO_ATTESTATION	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro/test9_s4-20260809-083623
2026-08-09 09:04:23	cr4	closed	TIMEOUT/NO_ATTESTATION	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro/cr4_s4-20260809-090420
2026-08-09 09:10:11	crypto1	closed	finished/pass	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro/crypto1_s4-20260809-091008
2026-08-09 09:14:36	pipe3_stream_processing	closed	finished/pass	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro/pipe3_stream_processing_s4-20260809-091434
2026-08-09 09:21:53	multi4	closed	finished/pass	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro/multi4_s4-20260809-092150
2026-08-09 09:35:50	ir2	closed	TIMEOUT/pass	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro/ir2_s4-20260809-093547
2026-08-09 09:41:17	api1	closed	finished/pass	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro/api1_s4-20260809-094115
2026-08-09 10:21:05	p5	closed	finished/EMPTY_VERDICT	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro/p5_s4-20260809-102102
