2026-08-08 12:19:02 | team | sess_bcec6b5c4a54 | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-08 12:19:02 | team | sess_bcec6b5c4a54 | INFO | AgentTeam manager initialized for jiuwen_team_sess_bcec6b5c4a54, member=team_leader
2026-08-08 12:19:02 | team | sess_bcec6b5c4a54 | INFO | [team_leader] TeamPolicyRail static sections: section_names=['team_role', 'team_workflow', 'team_swarmflow', 'team_lifecycle', 'team_persona']
2026-08-08 12:19:02 | team | sess_bcec6b5c4a54 | INFO | Session tables ready for session sess_bcec6b5c4a54
2026-08-08 12:19:02 | team | sess_bcec6b5c4a54 | INFO | Team database initialized
2026-08-08 12:19:02 | team | default_trace_id | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-08 12:19:02 | team | default_trace_id | INFO | AgentTeam manager initialized for jiuwen_team_sess_bcec6b5c4a54, member=executor1
2026-08-08 12:19:02 | team | default_trace_id | INFO | [executor1] TeamPolicyRail static sections: section_names=['team_role', 'team_persona']
2026-08-08 12:19:02 | team | sess_bcec6b5c4a54 | INFO | [executor1] invoke start, role=teammate
2026-08-08 12:19:02 | team | sess_bcec6b5c4a54 | INFO | [executor1] coordination starting
2026-08-08 12:19:02 | team | sess_bcec6b5c4a54 | INFO | Session tables ready for session sess_bcec6b5c4a54
2026-08-08 12:19:02 | team | sess_bcec6b5c4a54 | INFO | Workspace /srv/jwteam_clone/shared/run_current initialized as plain shared directory (version_control disabled)
2026-08-08 12:19:02 | team | sess_bcec6b5c4a54 | INFO | EventBus[teammate] starting
2026-08-08 12:19:24 | team | sess_bcec6b5c4a54 | INFO | [executor1] HITT section refresh: human_agent_names=[]
2026-08-08 12:19:34 | team | sess_bcec6b5c4a54 | INFO | [executor1] processing 1 unread messages (steer=True)
2026-08-08 12:19:34 | team | sess_bcec6b5c4a54 | INFO | Message 40b3efa7-3d5f-4e56-b063-d1c99019569c marked as read by executor1
2026-08-08 12:20:12 | team | sess_bcec6b5c4a54 | INFO | [executor1] processing 1 unread messages (steer=True)
2026-08-08 12:20:12 | team | sess_bcec6b5c4a54 | INFO | Message c6ceae6d-9507-4f5d-8ee4-ba83d64d12f3 marked as read by executor1
2026-08-08 12:20:42 | team | sess_bcec6b5c4a54 | INFO | Message 5b0649e3-b7e8-4df6-a099-42de6a99e3e0 created
2026-08-08 12:20:49 | team | sess_bcec6b5c4a54 | INFO | Message 3ad2313c-4264-4ede-b646-3f1a2a8f0343 created
2026-08-08 12:22:21 | team | sess_bcec6b5c4a54 | INFO | task list drained for team jiuwen_team_sess_bcec6b5c4a54: 3 terminal task(s)
2026-08-08 12:22:33 | team | sess_bcec6b5c4a54 | INFO | [executor1] processing 1 unread messages (steer=True)
2026-08-08 12:22:33 | team | sess_bcec6b5c4a54 | INFO | Message 03047635-ebbb-45a6-9322-2f0b6f36c9b1 marked as read by executor1
2026-08-08 12:22:50 | team | sess_bcec6b5c4a54 | INFO | team jiuwen_team_sess_bcec6b5c4a54 reported completed: 9 members, 3 tasks
2026-08-08 12:22:50 | team | sess_bcec6b5c4a54 | INFO | [executor1] received TEAM_STANDBY, pausing polls
2026-08-08 12:22:50 | team | sess_bcec6b5c4a54 | INFO | EventBus[teammate] pausing polls
