2026-08-09 16:01:27 | team | sess_bc2885b6629d | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-09 16:01:27 | team | sess_bc2885b6629d | INFO | AgentTeam manager initialized for jiuwen_team_sess_bc2885b6629d, member=team_leader
2026-08-09 16:01:27 | team | sess_bc2885b6629d | INFO | [team_leader] TeamPolicyRail static sections: section_names=['team_role', 'team_workflow', 'team_swarmflow', 'team_lifecycle', 'team_persona']
2026-08-09 16:01:28 | team | sess_bc2885b6629d | INFO | Session tables ready for session sess_bc2885b6629d
2026-08-09 16:01:28 | team | sess_bc2885b6629d | INFO | Team database initialized
2026-08-09 16:01:28 | team | default_trace_id | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-09 16:01:28 | team | default_trace_id | INFO | AgentTeam manager initialized for jiuwen_team_sess_bc2885b6629d, member=executor2
2026-08-09 16:01:28 | team | default_trace_id | INFO | [executor2] TeamPolicyRail static sections: section_names=['team_role', 'team_persona']
2026-08-09 16:01:28 | team | sess_bc2885b6629d | INFO | [executor2] invoke start, role=teammate
2026-08-09 16:01:28 | team | sess_bc2885b6629d | INFO | [executor2] coordination starting
2026-08-09 16:01:28 | team | sess_bc2885b6629d | INFO | Session tables ready for session sess_bc2885b6629d
2026-08-09 16:01:28 | team | sess_bc2885b6629d | INFO | Workspace /srv/jwteam_clone/shared/run_current initialized as plain shared directory (version_control disabled)
2026-08-09 16:01:28 | team | sess_bc2885b6629d | INFO | EventBus[teammate] starting
2026-08-09 16:01:56 | team | sess_bc2885b6629d | INFO | [executor2] HITT section refresh: human_agent_names=[]
2026-08-09 16:02:11 | team | sess_bc2885b6629d | INFO | [executor2] processing 1 unread messages (steer=True)
2026-08-09 16:02:11 | team | sess_bc2885b6629d | INFO | Message 04e79351-72f4-4329-adf0-080ab2138e61 marked as read by executor2
2026-08-09 16:06:22 | team | sess_bc2885b6629d | INFO | task list drained for team jiuwen_team_sess_bc2885b6629d: 3 terminal task(s)
2026-08-09 16:06:42 | team | sess_bc2885b6629d | INFO | [executor2] processing 1 unread messages (steer=True)
2026-08-09 16:06:42 | team | sess_bc2885b6629d | INFO | Message e82d8e39-ac09-4670-ae05-b1e6c2a68d7f marked as read by executor2
2026-08-09 16:06:56 | team | sess_bc2885b6629d | INFO | team jiuwen_team_sess_bc2885b6629d reported completed: 9 members, 3 tasks
2026-08-09 16:06:56 | team | sess_bc2885b6629d | INFO | [executor2] received TEAM_STANDBY, pausing polls
2026-08-09 16:06:56 | team | sess_bc2885b6629d | INFO | EventBus[teammate] pausing polls
