2026-08-08 02:43:41 | team | sess_50915eb26d5b | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-08 02:43:41 | team | sess_50915eb26d5b | INFO | AgentTeam manager initialized for jiuwen_team_sess_50915eb26d5b, member=team_leader
2026-08-08 02:43:41 | team | sess_50915eb26d5b | INFO | [team_leader] TeamPolicyRail static sections: section_names=['team_role', 'team_workflow', 'team_swarmflow', 'team_lifecycle', 'team_persona']
2026-08-08 02:43:41 | team | sess_50915eb26d5b | INFO | Session tables ready for session sess_50915eb26d5b
2026-08-08 02:43:41 | team | sess_50915eb26d5b | INFO | Team database initialized
2026-08-08 02:43:41 | team | default_trace_id | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-08 02:43:41 | team | default_trace_id | INFO | AgentTeam manager initialized for jiuwen_team_sess_50915eb26d5b, member=executor1
2026-08-08 02:43:41 | team | default_trace_id | INFO | [executor1] TeamPolicyRail static sections: section_names=['team_role', 'team_persona']
2026-08-08 02:43:41 | team | sess_50915eb26d5b | INFO | [executor1] invoke start, role=teammate
2026-08-08 02:43:41 | team | sess_50915eb26d5b | INFO | [executor1] coordination starting
2026-08-08 02:43:41 | team | sess_50915eb26d5b | INFO | Session tables ready for session sess_50915eb26d5b
2026-08-08 02:43:41 | team | sess_50915eb26d5b | INFO | Workspace /srv/jwteam_clone/shared/run_current initialized as plain shared directory (version_control disabled)
2026-08-08 02:43:41 | team | sess_50915eb26d5b | INFO | EventBus[teammate] starting
2026-08-08 02:44:16 | team | sess_50915eb26d5b | INFO | [executor1] HITT section refresh: human_agent_names=[]
2026-08-08 02:44:27 | team | sess_50915eb26d5b | INFO | [executor1] processing 1 unread messages (steer=True)
2026-08-08 02:44:27 | team | sess_50915eb26d5b | INFO | Message 8b98eb60-1843-4c96-b584-c068c718e243 marked as read by executor1
2026-08-08 02:44:36 | team | sess_50915eb26d5b | INFO | Message 92ca25e1-7a3d-468b-a476-b6bfbe28d496 created
2026-08-08 02:44:49 | team | sess_50915eb26d5b | INFO | [executor1] processing 1 unread messages (steer=True)
2026-08-08 02:44:49 | team | sess_50915eb26d5b | INFO | Message 5a11886b-c49c-422b-a612-56f31bd115ad marked as read by executor1
2026-08-08 02:44:50 | team | sess_50915eb26d5b | INFO | [executor1] processing 1 unread messages (steer=True)
2026-08-08 02:44:50 | team | sess_50915eb26d5b | INFO | Message 2010c575-b05a-4676-a494-a4afd02bbc2e marked as read by executor1
2026-08-08 02:44:52 | team | sess_50915eb26d5b | INFO | Message 96895b2d-950d-4f36-b0e0-2fd68c41a3ca created
2026-08-08 02:44:53 | team | sess_50915eb26d5b | INFO | [executor1] processing 1 unread messages (steer=True)
