2026-08-23 17:43:13 | team | sess_9c3984f1c68d | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-23 17:43:13 | team | sess_9c3984f1c68d | INFO | AgentTeam manager initialized for jiuwen_team_sess_9c3984f1c68d, member=team_leader
2026-08-23 17:43:13 | team | sess_9c3984f1c68d | INFO | [team_leader] TeamPolicyRail static sections: section_names=['team_role', 'team_workflow', 'team_swarmflow', 'team_lifecycle', 'team_persona']
2026-08-23 17:43:13 | team | sess_9c3984f1c68d | INFO | Session tables ready for session sess_9c3984f1c68d
2026-08-23 17:43:13 | team | sess_9c3984f1c68d | INFO | Team database initialized
2026-08-23 17:43:13 | team | default_trace_id | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-23 17:43:13 | team | default_trace_id | INFO | AgentTeam manager initialized for jiuwen_team_sess_9c3984f1c68d, member=executor2
2026-08-23 17:43:13 | team | default_trace_id | INFO | [executor2] TeamPolicyRail static sections: section_names=['team_role', 'team_persona']
2026-08-23 17:43:13 | team | sess_9c3984f1c68d | INFO | [executor2] invoke start, role=teammate
2026-08-23 17:43:13 | team | sess_9c3984f1c68d | INFO | [executor2] coordination starting
2026-08-23 17:43:13 | team | sess_9c3984f1c68d | INFO | Session tables ready for session sess_9c3984f1c68d
2026-08-23 17:43:13 | team | sess_9c3984f1c68d | INFO | Workspace /srv/jwteam_clone/shared/run_current initialized as plain shared directory (version_control disabled)
2026-08-23 17:43:13 | team | sess_9c3984f1c68d | INFO | EventBus[teammate] starting
2026-08-23 17:48:15 | team | sess_9c3984f1c68d | INFO | [executor2] HITT section refresh: human_agent_names=[]
2026-08-23 17:55:36 | team | sess_9c3984f1c68d | INFO | task list drained for team jiuwen_team_sess_9c3984f1c68d: 6 terminal task(s)
2026-08-23 18:03:15 | team | sess_9c3984f1c68d | INFO | team jiuwen_team_sess_9c3984f1c68d reported completed: 9 members, 6 tasks
2026-08-23 18:03:16 | team | sess_9c3984f1c68d | INFO | [executor2] received TEAM_STANDBY, pausing polls
2026-08-23 18:03:16 | team | sess_9c3984f1c68d | INFO | EventBus[teammate] pausing polls
