2026-08-09 08:00:36 | team | sess_5d52bccf732e | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-09 08:00:36 | team | sess_5d52bccf732e | INFO | AgentTeam manager initialized for jiuwen_team_sess_5d52bccf732e, member=team_leader
2026-08-09 08:00:36 | team | sess_5d52bccf732e | INFO | [team_leader] TeamPolicyRail static sections: section_names=['team_role', 'team_workflow', 'team_swarmflow', 'team_lifecycle', 'team_persona']
2026-08-09 08:00:36 | team | sess_5d52bccf732e | INFO | Session tables ready for session sess_5d52bccf732e
2026-08-09 08:00:36 | team | sess_5d52bccf732e | INFO | Team database initialized
2026-08-09 08:00:36 | team | default_trace_id | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-09 08:00:36 | team | default_trace_id | INFO | AgentTeam manager initialized for jiuwen_team_sess_5d52bccf732e, member=executor3
2026-08-09 08:00:36 | team | default_trace_id | INFO | [executor3] TeamPolicyRail static sections: section_names=['team_role', 'team_persona']
2026-08-09 08:00:37 | team | sess_5d52bccf732e | INFO | [executor3] invoke start, role=teammate
2026-08-09 08:00:37 | team | sess_5d52bccf732e | INFO | [executor3] coordination starting
2026-08-09 08:00:37 | team | sess_5d52bccf732e | INFO | Session tables ready for session sess_5d52bccf732e
2026-08-09 08:00:37 | team | sess_5d52bccf732e | INFO | Workspace /srv/jwteam_clone/shared/run_current initialized as plain shared directory (version_control disabled)
2026-08-09 08:00:37 | team | sess_5d52bccf732e | INFO | EventBus[teammate] starting
2026-08-09 08:00:58 | team | sess_5d52bccf732e | INFO | [executor3] HITT section refresh: human_agent_names=[]
2026-08-09 08:12:23 | team | sess_5d52bccf732e | INFO | Message ea12ce51-c9c2-477c-b1e6-2aaddd29d88e created
