2026-08-09 08:00:33 | team | sess_5d52bccf732e | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-09 08:00:33 | team | sess_5d52bccf732e | INFO | AgentTeam manager initialized for jiuwen_team_sess_5d52bccf732e, member=team_leader
2026-08-09 08:00:33 | team | sess_5d52bccf732e | INFO | [team_leader] TeamPolicyRail static sections: section_names=['team_role', 'team_workflow', 'team_swarmflow', 'team_lifecycle', 'team_persona']
2026-08-09 08:00:33 | team | sess_5d52bccf732e | INFO | Session tables ready for session sess_5d52bccf732e
2026-08-09 08:00:33 | team | sess_5d52bccf732e | INFO | Team database initialized
2026-08-09 08:00:33 | team | default_trace_id | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-09 08:00:33 | team | default_trace_id | INFO | AgentTeam manager initialized for jiuwen_team_sess_5d52bccf732e, member=planner1
2026-08-09 08:00:33 | team | default_trace_id | INFO | [planner1] TeamPolicyRail static sections: section_names=['team_role', 'team_persona']
2026-08-09 08:00:33 | team | sess_5d52bccf732e | INFO | [planner1] invoke start, role=teammate
2026-08-09 08:00:33 | team | sess_5d52bccf732e | INFO | [planner1] coordination starting
2026-08-09 08:00:33 | team | sess_5d52bccf732e | INFO | Session tables ready for session sess_5d52bccf732e
2026-08-09 08:00:33 | team | sess_5d52bccf732e | INFO | Workspace /srv/jwteam_clone/shared/run_current initialized as plain shared directory (version_control disabled)
2026-08-09 08:00:33 | team | sess_5d52bccf732e | INFO | EventBus[teammate] starting
2026-08-09 08:00:58 | team | sess_5d52bccf732e | INFO | [planner1] HITT section refresh: human_agent_names=[]
2026-08-09 08:01:25 | team | sess_5d52bccf732e | INFO | Message 1d32ba67-209f-44fe-8dd6-089618a8b87d created
2026-08-09 08:12:02 | team | sess_5d52bccf732e | INFO | [planner1] processing 1 unread messages (steer=True)
2026-08-09 08:12:02 | team | sess_5d52bccf732e | INFO | Message 50abacfe-53e5-4884-bfe7-50ebd0657f40 marked as read by planner1
