2026-08-10 08:43:50 | team | sess_e5b48e3a5fcd | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-10 08:43:50 | team | sess_e5b48e3a5fcd | INFO | AgentTeam manager initialized for jiuwen_team_sess_e5b48e3a5fcd, member=team_leader
2026-08-10 08:43:50 | team | sess_e5b48e3a5fcd | INFO | [team_leader] TeamPolicyRail static sections: section_names=['team_role', 'team_workflow', 'team_swarmflow', 'team_lifecycle', 'team_persona']
2026-08-10 08:43:50 | team | sess_e5b48e3a5fcd | INFO | Session tables ready for session sess_e5b48e3a5fcd
2026-08-10 08:43:50 | team | sess_e5b48e3a5fcd | INFO | Team database initialized
2026-08-10 08:43:50 | team | default_trace_id | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-10 08:43:50 | team | default_trace_id | INFO | AgentTeam manager initialized for jiuwen_team_sess_e5b48e3a5fcd, member=executor1
2026-08-10 08:43:50 | team | default_trace_id | INFO | [executor1] TeamPolicyRail static sections: section_names=['team_role', 'team_persona']
2026-08-10 08:43:50 | team | sess_e5b48e3a5fcd | INFO | [executor1] invoke start, role=teammate
2026-08-10 08:43:50 | team | sess_e5b48e3a5fcd | INFO | [executor1] coordination starting
2026-08-10 08:43:50 | team | sess_e5b48e3a5fcd | INFO | Session tables ready for session sess_e5b48e3a5fcd
2026-08-10 08:43:51 | team | sess_e5b48e3a5fcd | INFO | Workspace /srv/jwteam_clone/shared/run_current initialized as plain shared directory (version_control disabled)
2026-08-10 08:43:51 | team | sess_e5b48e3a5fcd | INFO | EventBus[teammate] starting
2026-08-10 08:44:10 | team | sess_e5b48e3a5fcd | INFO | [executor1] HITT section refresh: human_agent_names=[]
2026-08-10 08:44:21 | team | sess_e5b48e3a5fcd | INFO | [executor1] processing 1 unread messages (steer=True)
2026-08-10 08:44:21 | team | sess_e5b48e3a5fcd | INFO | Message 3a29657f-87ee-4b4b-8391-0e28cc00ba34 marked as read by executor1
2026-08-10 08:47:34 | team | sess_e5b48e3a5fcd | INFO | Message 5ef656e3-d2a1-4c55-bce0-9945b76139c5 created
2026-08-10 08:54:13 | team | sess_e5b48e3a5fcd | INFO | task list drained for team jiuwen_team_sess_e5b48e3a5fcd: 5 terminal task(s)
2026-08-10 08:54:24 | team | sess_e5b48e3a5fcd | INFO | [executor1] processing 1 unread messages (steer=True)
2026-08-10 08:54:24 | team | sess_e5b48e3a5fcd | INFO | Message 0897653e-6425-4ab3-8187-863ef09eb771 marked as read by executor1
2026-08-10 08:54:53 | team | sess_e5b48e3a5fcd | INFO | team jiuwen_team_sess_e5b48e3a5fcd reported completed: 9 members, 5 tasks
2026-08-10 08:54:53 | team | sess_e5b48e3a5fcd | INFO | [executor1] received TEAM_STANDBY, pausing polls
2026-08-10 08:54:53 | team | sess_e5b48e3a5fcd | INFO | EventBus[teammate] pausing polls
