2026-08-08 21:52:00 | team | sess_9520f609a8e1 | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-08 21:52:00 | team | sess_9520f609a8e1 | INFO | AgentTeam manager initialized for jiuwen_team_sess_9520f609a8e1, member=team_leader
2026-08-08 21:52:00 | team | sess_9520f609a8e1 | INFO | [team_leader] TeamPolicyRail static sections: section_names=['team_role', 'team_workflow', 'team_swarmflow', 'team_lifecycle', 'team_persona']
2026-08-08 21:52:00 | team | sess_9520f609a8e1 | INFO | Session tables ready for session sess_9520f609a8e1
2026-08-08 21:52:00 | team | sess_9520f609a8e1 | INFO | Team database initialized
2026-08-08 21:52:00 | team | default_trace_id | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-08 21:52:00 | team | default_trace_id | INFO | AgentTeam manager initialized for jiuwen_team_sess_9520f609a8e1, member=executor1
2026-08-08 21:52:00 | team | default_trace_id | INFO | [executor1] TeamPolicyRail static sections: section_names=['team_role', 'team_persona']
2026-08-08 21:52:00 | team | sess_9520f609a8e1 | INFO | [executor1] invoke start, role=teammate
2026-08-08 21:52:00 | team | sess_9520f609a8e1 | INFO | [executor1] coordination starting
2026-08-08 21:52:00 | team | sess_9520f609a8e1 | INFO | Session tables ready for session sess_9520f609a8e1
2026-08-08 21:52:00 | team | sess_9520f609a8e1 | INFO | Workspace /srv/jwteam_clone/shared/run_current initialized as plain shared directory (version_control disabled)
2026-08-08 21:52:00 | team | sess_9520f609a8e1 | INFO | EventBus[teammate] starting
2026-08-08 21:52:21 | team | sess_9520f609a8e1 | INFO | [executor1] HITT section refresh: human_agent_names=[]
2026-08-08 21:52:33 | team | sess_9520f609a8e1 | INFO | [executor1] processing 1 unread messages (steer=True)
2026-08-08 21:52:33 | team | sess_9520f609a8e1 | INFO | Message 6945f8d1-4b27-44e6-8421-41a6533987c4 marked as read by executor1
2026-08-08 21:54:41 | team | sess_9520f609a8e1 | INFO | [executor1] processing 1 unread messages (steer=True)
2026-08-08 21:54:41 | team | sess_9520f609a8e1 | INFO | Message fa62fb9f-1919-4309-9542-ab65f3b23afb marked as read by executor1
2026-08-08 21:59:08 | team | sess_9520f609a8e1 | INFO | task list drained for team jiuwen_team_sess_9520f609a8e1: 3 terminal task(s)
2026-08-08 21:59:31 | team | sess_9520f609a8e1 | INFO | [executor1] processing 1 unread messages (steer=True)
2026-08-08 21:59:31 | team | sess_9520f609a8e1 | INFO | Message a2760ae5-21e5-4c84-86d1-e8ce351189ba marked as read by executor1
2026-08-08 22:00:19 | team | sess_9520f609a8e1 | INFO | team jiuwen_team_sess_9520f609a8e1 reported completed: 9 members, 3 tasks
2026-08-08 22:00:19 | team | sess_9520f609a8e1 | INFO | [executor1] received TEAM_STANDBY, pausing polls
2026-08-08 22:00:19 | team | sess_9520f609a8e1 | INFO | EventBus[teammate] pausing polls
