2026-08-08 14:05:54 | team | sess_73361e8835fa | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-08 14:05:54 | team | sess_73361e8835fa | INFO | AgentTeam manager initialized for jiuwen_team_sess_73361e8835fa, member=team_leader
2026-08-08 14:05:54 | team | sess_73361e8835fa | INFO | [team_leader] TeamPolicyRail static sections: section_names=['team_role', 'team_workflow', 'team_swarmflow', 'team_lifecycle', 'team_persona']
2026-08-08 14:05:54 | team | sess_73361e8835fa | INFO | Session tables ready for session sess_73361e8835fa
2026-08-08 14:05:54 | team | sess_73361e8835fa | INFO | Team database initialized
2026-08-08 14:05:54 | team | default_trace_id | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-08 14:05:54 | team | default_trace_id | INFO | AgentTeam manager initialized for jiuwen_team_sess_73361e8835fa, member=fullstack1
2026-08-08 14:05:54 | team | default_trace_id | INFO | [fullstack1] TeamPolicyRail static sections: section_names=['team_role', 'team_persona']
2026-08-08 14:05:54 | team | sess_73361e8835fa | INFO | [fullstack1] invoke start, role=teammate
2026-08-08 14:05:54 | team | sess_73361e8835fa | INFO | [fullstack1] coordination starting
2026-08-08 14:05:54 | team | sess_73361e8835fa | INFO | Session tables ready for session sess_73361e8835fa
2026-08-08 14:05:54 | team | sess_73361e8835fa | INFO | Workspace /srv/jwteam_clone/shared/run_current initialized as plain shared directory (version_control disabled)
2026-08-08 14:05:54 | team | sess_73361e8835fa | INFO | EventBus[teammate] starting
